,symbol,rate,time
298,BTCUSDT,0.00010000,2020-04-09 08:00:00
299,BTCUSDT,-0.00010005,2020-04-09 16:00:00
300,BTCUSDT,-0.00008854,2020-04-10 00:00:00
301,BTCUSDT,-0.00005003,2020-04-10 08:00:00
302,BTCUSDT,0.00010000,2020-04-10 16:00:00
303,BTCUSDT,0.00010000,2020-04-11 00:00:00
304,BTCUSDT,0.00010000,2020-04-11 08:00:00
305,BTCUSDT,0.00010000,2020-04-11 16:00:00
306,BTCUSDT,0.00010000,2020-04-12 00:00:00
307,BTCUSDT,0.00010000,2020-04-12 08:00:00
308,BTCUSDT,0.00010000,2020-04-12 16:00:00
309,BTCUSDT,0.00008453,2020-04-13 00:00:00
310,BTCUSDT,0.00007954,2020-04-13 08:00:00
311,BTCUSDT,-0.00020271,2020-04-13 16:00:00
312,BTCUSDT,-0.00002882,2020-04-14 00:00:00
313,BTCUSDT,-0.00001244,2020-04-14 08:00:00
314,BTCUSDT,0.00005454,2020-04-14 16:00:00
315,BTCUSDT,-0.00020028,2020-04-15 00:00:00
316,BTCUSDT,-0.00012803,2020-04-15 08:00:00
317,BTCUSDT,-0.00004630,2020-04-15 16:00:00
318,BTCUSDT,0.00002925,2020-04-16 00:00:00
319,BTCUSDT,-0.00007017,2020-04-16 08:00:00
320,BTCUSDT,-0.00046001,2020-04-16 16:00:00
321,BTCUSDT,0.00006364,2020-04-17 00:00:00
322,BTCUSDT,0.00005926,2020-04-17 08:00:00
323,BTCUSDT,0.00003345,2020-04-17 16:00:00
324,BTCUSDT,-0.00006771,2020-04-18 00:00:00
325,BTCUSDT,-0.00003132,2020-04-18 08:00:00
326,BTCUSDT,-0.00017145,2020-04-18 16:00:00
327,BTCUSDT,-0.00019642,2020-04-19 00:00:00
328,BTCUSDT,-0.00019142,2020-04-19 08:00:00
329,BTCUSDT,-0.00005966,2020-04-19 16:00:00
330,BTCUSDT,0.00008514,2020-04-20 00:00:00
331,BTCUSDT,-0.00001310,2020-04-20 08:00:00
332,BTCUSDT,-0.00001874,2020-04-20 16:00:00
333,BTCUSDT,-0.00005762,2020-04-21 00:00:00
334,BTCUSDT,-0.00009180,2020-04-21 08:00:00
335,BTCUSDT,-0.00007539,2020-04-21 16:00:00
336,BTCUSDT,0.00010000,2020-04-22 00:00:00
337,BTCUSDT,-0.00002663,2020-04-22 08:00:00
